userid	username	prompt_type	training_step	current_action	current_observation	complex_observation	test_result
86	A1C3F2M4JLKYG1	TP	6	["163","TP","ák icedpi","he accepts"]	She will give	NULL	{"0":{"reference":"you will accept","user_answer":"she will watch"},"1":{"reference":"you watch","user_answer":"I watched"},"2":{"reference":"you will watch","user_answer":"You watch"},"3":{"reference":"he watched","user_answer":"He watched"},"4":{"reference":"I watch","user_answer":"She entered"},"5":{"reference":"I accepted","user_answer":"She entered"},"6":{"reference":"he watches","user_answer":"He will watch"},"test_correct_num":1,"test_total_num":7}
82	A2FI77833XNV3T	MCR	10	["121","MCR","yé enplé","I enter","you enter","he enters","you accepted","to accept"]	he enters	{"1":{"guess":"you enter","time":7},"2":{"guess":"you accepted","time":5},"3":{"guess":"he enters","time":3}}	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you will watch"},"2":{"reference":"you will watch","user_answer":"you "},"3":{"reference":"he watched","user_answer":"he accepted"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"he watched"},"test_correct_num":2,"test_total_num":7}
70	A13VIJ7G997ZCY	MCR	16	["131","MCR","pi enplilíz","you will enter","you watched","he accepted","I will accept","she entered"]	you will enter	{"1":{"guess":"you will enter","time":5}}	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"you accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":5,"test_total_num":7}
56	A39EH9228GV09X	EX	22	["28","EX","ekki melilí","she will watch"]	she will watch	NULL	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"i watch"},"2":{"reference":"you will watch","user_answer":"i watched"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"i watched"},"5":{"reference":"I accepted","user_answer":"i accepted"},"6":{"reference":"he watches","user_answer":"he watched"},"test_correct_num":3,"test_total_num":7}
61	A1NS16PLRPJ3YW	TPR	19	["202","TPR","ekki icedpü","she accepted"]	she accepts	NULL	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"He watches"},"test_correct_num":5,"test_total_num":7}
77	A33CFLCMJNHHNC	MC	13	["57","MC","yé enplé","I enter","you enter","he enters","you accepted","to accept"]	you enter	NULL	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you will watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I will watch"},"5":{"reference":"I accepted","user_answer":"I accepts"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":3,"test_total_num":7}
97	A1PUHCEBSOWETV	MC	7	["62","MC","ekki enpli","she enters","she accepts","he enters","she will accept","to accept"]	he enters	NULL	{"0":{"reference":"you will accept","user_answer":"to watch"},"1":{"reference":"you watch","user_answer":"she watch"},"2":{"reference":"you will watch","user_answer":"I watch"},"3":{"reference":"he watched","user_answer":"she watches"},"4":{"reference":"I watch","user_answer":"He will watch"},"5":{"reference":"I accepted","user_answer":""},"6":{"reference":"he watches","user_answer":""},"test_correct_num":0,"test_total_num":7}
103	ABX5OQLR6UNBC	EX	2	["11","EX","enplil","to enter"]	to enter	NULL	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"you watch"},"5":{"reference":"I accepted","user_answer":"you accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
76	A1LRJ4U04532TM	MCR	16	["122","MCR","pi enpliz","you enter","she entered","she will enter","he accepts","she accepts"]	he accepts	{"1":{"guess":"she accepts","time":11},"2":{"guess":"he accepts","time":7}}	{"0":{"reference":"you will accept","user_answer":"You accepted"},"1":{"reference":"you watch","user_answer":"You watched"},"2":{"reference":"you will watch","user_answer":"You will watch"},"3":{"reference":"he watched","user_answer":"He watched"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I entered"},"6":{"reference":"he watches","user_answer":"He watched"},"test_correct_num":2,"test_total_num":7}
59	A9YQQIZRWVPIT	MC	22	["87","MC","ák melilí","he will watch","he entered","you entered","you enter","she will watch"]	he entered	NULL	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will enter"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"you enter"},"5":{"reference":"I accepted","user_answer":"you accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":3,"test_total_num":7}
58	AEKOPV99Z7L85	EX	17	["22","EX","ák enplü","he entered"]	he entered	NULL	{"0":{"reference":"you will accept","user_answer":"you accepted"},"1":{"reference":"you watch","user_answer":"you watched"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"you watched"},"5":{"reference":"I accepted","user_answer":"you accepted"},"6":{"reference":"he watches","user_answer":"he watched"},"test_correct_num":1,"test_total_num":7}
92	A3L0DCUXI7X3A9	MCR	5	["127","MCR","ekki enpli","she enters","he entered","he accepts","he will enter","she will enter"]	she will enter	{"1":{"guess":"he accepts","time":13},"2":{"guess":"she will enter","time":9}}	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you are watching"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"I will watch"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
54	A2VRDE2FHCBMF8	MCR	18	["157","MCR","pi melizpe","you watched","I will accept","he will enter","she watched","I will watch"]	you watched	{"1":{"guess":"you watched","time":4}}	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I will watch"},"5":{"reference":"I accepted","user_answer":"I will accept"},"6":{"reference":"he watches","user_answer":"he watche"},"test_correct_num":4,"test_total_num":7}
65	A2A0M30DSA7ZN	MCR	20	["130","MCR","pi enplilíz","you will enter","you accept","I enter","he will watch","she will accept"]	you will enter	{"1":{"guess":"you will enter","time":13}}	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"He watches"},"test_correct_num":5,"test_total_num":7}
57	A1A3TGZ7DKJWRW	MCR	24	["96","MCR","icedpil","to accept","I enter","I entered","she accepted","she entered"]	to accept	{"1":{"guess":"I entered","time":13},"2":{"guess":"to accept","time":12}}	{"0":{"reference":"you will accept","user_answer":"I entered"},"1":{"reference":"you watch","user_answer":"I watch"},"2":{"reference":"you will watch","user_answer":"I will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I entered"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
55	A1TMF8Z3VT364E	MCR	20	["147","MCR","ekki meli","she watches","she will watch","she accepts","he will enter","she watched"]	she watches	{"1":{"guess":"she watched","time":13},"2":{"guess":"she watches","time":10}}	{"0":{"reference":"you will accept","user_answer":"you accepted"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"i watch"},"5":{"reference":"I accepted","user_answer":"i accept"},"6":{"reference":"he watches","user_answer":"he watched"},"test_correct_num":2,"test_total_num":7}
87	AAFAR49RN5TS7	EX	7	["4","EX","ekki icedpi","she accepts"]	she accepts	NULL	{"0":{"reference":"you will accept","user_answer":"you accepted"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"He watches"},"test_correct_num":3,"test_total_num":7}
102	A1ITVW9X735K38	MC	2	["69","MC","ák enplilí","he will enter","you will enter","I entered","you accepted","I will accept"]	I will accept	NULL	{"0":{"reference":"you will accept","user_answer":"she will accept"},"1":{"reference":"you watch","user_answer":"you watched"},"2":{"reference":"you will watch","user_answer":"she will enter"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I "},"5":{"reference":"I accepted","user_answer":"you acceot"},"6":{"reference":"he watches","user_answer":""},"test_correct_num":1,"test_total_num":7}
67	A3LECJA9RVQQKZ	MC	16	["65","MC","yé enplilá","I will enter","he enters","I entered","you will enter","to accept"]	I will enter	NULL	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I accepted"},"6":{"reference":"he watches","user_answer":"he watched"},"test_correct_num":4,"test_total_num":7}
101	 A2WD7K61WGL37E	MC	2	["38","MC","ák icedpi","he accepts","she entered","he enters","you enter","you entered"]	you enter	NULL	{"0":{"reference":"you will accept","user_answer":"you accepted"},"1":{"reference":"you watch","user_answer":"you entered"},"2":{"reference":"you will watch","user_answer":"you will enter"},"3":{"reference":"he watched","user_answer":"he entered"},"4":{"reference":"I watch","user_answer":"I enter"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"he enters"},"test_correct_num":0,"test_total_num":7}
75	AFXZKA9V4VHO7	MC	13	["80","MC","melil","to watch","I entered","I watched","she entered","he accepted"]	to watch	NULL	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"I watched"},"2":{"reference":"you will watch","user_answer":"I will watch"},"3":{"reference":"he watched","user_answer":"she watches"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":1,"test_total_num":7}
62	A2MZYC2OHHM76X	MC	16	["87","MC","ák melilí","he will watch","he entered","you entered","you enter","she will watch"]	you entered	NULL	{"0":{"reference":"you will accept","user_answer":"I will accept"},"1":{"reference":"you watch","user_answer":"I enter"},"2":{"reference":"you will watch","user_answer":"I entered"},"3":{"reference":"he watched","user_answer":"He accepts"},"4":{"reference":"I watch","user_answer":"I accept"},"5":{"reference":"I accepted","user_answer":"I will accept"},"6":{"reference":"he watches","user_answer":"He enter"},"test_correct_num":0,"test_total_num":7}
66	A1G187YBG0DVMQ	MC	19	["69","MC","ák enplilí","he will enter","you will enter","I entered","you accepted","I will accept"]	I will accept	NULL	{"0":{"reference":"you will accept","user_answer":"i will enter"},"1":{"reference":"you watch","user_answer":"he accepted"},"2":{"reference":"you will watch","user_answer":"he accepts"},"3":{"reference":"he watched","user_answer":"i enter"},"4":{"reference":"I watch","user_answer":"you enter"},"5":{"reference":"I accepted","user_answer":"he accepts"},"6":{"reference":"he watches","user_answer":"she passes through"},"test_correct_num":0,"test_total_num":7}
60	AC5UD8N187QD6	MCR	19	["114","MCR","ák icedpü","he accepted","you accept","I accept","he entered","you entered"]	he accepted	{"1":{"guess":"he accepted","time":4}}	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I accepted"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":6,"test_total_num":7}
56	A39EH9228GV09X	MC	23	["85","MC","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	I will watch	NULL	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"i watch"},"2":{"reference":"you will watch","user_answer":"i watched"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"i watched"},"5":{"reference":"I accepted","user_answer":"i accepted"},"6":{"reference":"he watches","user_answer":"he watched"},"test_correct_num":3,"test_total_num":7}
78	A24MFJ893DQKW1	EX	16	["12","EX","yé enplé","I enter"]	I enter	NULL	{"0":{"reference":"you will accept","user_answer":"you accepted"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":4,"test_total_num":7}
52	AZEGZ5ZVM6P5A	EX	21	["13","EX","pi enpliz","you enter"]	you enter	NULL	{"0":{"reference":"you will accept","user_answer":"you entered"},"1":{"reference":"you watch","user_answer":"you open"},"2":{"reference":"you will watch","user_answer":"you will open"},"3":{"reference":"he watched","user_answer":"he opens"},"4":{"reference":"I watch","user_answer":"you open"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"I will watch"},"test_correct_num":0,"test_total_num":7}
71	A3HNAJE7OJP66A	EX	13	["13","EX","pi enpliz","you enter"]	you enter	NULL	{"0":{"reference":"you will accept","user_answer":"he entered"},"1":{"reference":"you watch","user_answer":"he watched"},"2":{"reference":"you will watch","user_answer":"he watches"},"3":{"reference":"he watched","user_answer":"she watched"},"4":{"reference":"I watch","user_answer":"i watch"},"5":{"reference":"I accepted","user_answer":"you will enter"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
65	A2A0M30DSA7ZN	MCR	21	["130","MCR","pi enplilíz","you will enter","you accept","I enter","he will watch","she will accept"]	you will enter	{"1":{"guess":"you will enter","time":14}}	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enter"},"6":{"reference":"he watches","user_answer":"He watches"},"test_correct_num":5,"test_total_num":7}
77	A33CFLCMJNHHNC	MCR	14	["110","MCR","ekki icedpilí","she will accept","you accepted","I watched","I entered","he enters"]	she will accept	{"1":{"guess":"she will accept","time":12}}	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you will watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I will watch"},"5":{"reference":"I accepted","user_answer":"I accepts"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":3,"test_total_num":7}
76	A1LRJ4U04532TM	EX	17	["0","EX","icedpil","to accept"]	to accept	NULL	{"0":{"reference":"you will accept","user_answer":"You accepted"},"1":{"reference":"you watch","user_answer":"You watched"},"2":{"reference":"you will watch","user_answer":"You will watch"},"3":{"reference":"he watched","user_answer":"He watched"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I entered"},"6":{"reference":"he watches","user_answer":"He watched"},"test_correct_num":2,"test_total_num":7}
92	A3L0DCUXI7X3A9	MCR	6	["103","MCR","ák icedpi","he accepts","I watched","he entered","he will watch","she enters"]	he accepts	{"1":{"guess":"he accepts","time":12}}	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you are watching"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"I will watch"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
104	A1PAY3X73PQ16S	EX	2	["21","EX","pi enplizpe","you entered"]	you entered	NULL	{"0":{"reference":"you will accept","user_answer":"You will enter"},"1":{"reference":"you watch","user_answer":"You accept"},"2":{"reference":"you will watch","user_answer":"You will accept"},"3":{"reference":"he watched","user_answer":"He accepted"},"4":{"reference":"I watch","user_answer":"I accept"},"5":{"reference":"I accepted","user_answer":"I will enter"},"6":{"reference":"he watches","user_answer":"He watches"},"test_correct_num":1,"test_total_num":7}
89	A1MLC8HETIE13W	TP	8	["189","TP","yé melá","I watched"]	I watched	NULL	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he will watch"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I enterred"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":3,"test_total_num":7}
105	A1SJRFJWFXSDH4	MC	2	["75","MC","pi enplizpe","you entered","he accepted","he will enter","she accepted","he will accept"]	he will enter	NULL	{"0":{"reference":"you will accept","user_answer":"he accepts"},"1":{"reference":"you watch","user_answer":"he watched"},"2":{"reference":"you will watch","user_answer":"you watch"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":""},"test_correct_num":0,"test_total_num":7}
74	A21G77FNPGRZBD	MC	15	["84","MC","yé melilá","I will watch","I will accept","he accepted","she accepted","he accepts"]	I will watch	NULL	{"0":{"reference":"you will accept","user_answer":""},"1":{"reference":"you watch","user_answer":""},"2":{"reference":"you will watch","user_answer":""},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"i watch"},"5":{"reference":"I accepted","user_answer":"i will accept"},"6":{"reference":"he watches","user_answer":"he will watch"},"test_correct_num":2,"test_total_num":7}
94	A2UHF7UL7G0Y78	EX	6	["12","EX","yé enplé","I enter"]	I enter	NULL	{"0":{"reference":"you will accept","user_answer":"He entered"},"1":{"reference":"you watch","user_answer":"She entered"},"2":{"reference":"you will watch","user_answer":"He entered"},"3":{"reference":"he watched","user_answer":"She entered"},"4":{"reference":"I watch","user_answer":"He entered"},"5":{"reference":"I accepted","user_answer":"She entered"},"6":{"reference":"he watches","user_answer":"He entered"},"test_correct_num":0,"test_total_num":7}
68	AF3LEU0Z2EMH4	TPR	16	["208","TPR","yé enplilá","I will enter"]	I watched	NULL	{"0":{"reference":"you will accept","user_answer":"He will accept"},"1":{"reference":"you watch","user_answer":"You will watch"},"2":{"reference":"you will watch","user_answer":"You watched"},"3":{"reference":"he watched","user_answer":"He watched"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I accepted"},"6":{"reference":"he watches","user_answer":"He watched"},"test_correct_num":2,"test_total_num":7}
51	A3I9FTHSULHPYS	EX	25	["28","EX","ekki melilí","she will watch"]	she will watch	NULL	{"0":{"reference":"you will accept","user_answer":"she watches"},"1":{"reference":"you watch","user_answer":"i watch"},"2":{"reference":"you will watch","user_answer":"i watched"},"3":{"reference":"he watched","user_answer":"she watched"},"4":{"reference":"I watch","user_answer":"i watch"},"5":{"reference":"I accepted","user_answer":"i accept"},"6":{"reference":"he watches","user_answer":"i watch"},"test_correct_num":1,"test_total_num":7}
64	A13M79DZ3D0ONV	MCR	14	["156","MCR","pi melizpe","you watched","he entered","she accepts","to watch","she enters"]	he entered	{"1":{"guess":"she accepts","time":6},"2":{"guess":"he entered","time":1},"3":{"guess":"he entered","time":0}}	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watched"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
55	A1TMF8Z3VT364E	EX	21	["0","EX","icedpil","to accept"]	to accept	NULL	{"0":{"reference":"you will accept","user_answer":"you accepted"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"i watch"},"5":{"reference":"I accepted","user_answer":"i accept"},"6":{"reference":"he watches","user_answer":"he watched"},"test_correct_num":2,"test_total_num":7}
57	A1A3TGZ7DKJWRW	EX	25	["0","EX","icedpil","to accept"]	to accept	NULL	{"0":{"reference":"you will accept","user_answer":"I entered"},"1":{"reference":"you watch","user_answer":"I watch"},"2":{"reference":"you will watch","user_answer":"I will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I entered"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
59	A9YQQIZRWVPIT	TP	23	["179","TP","ekki enplilí","she will enter"]	he enters	NULL	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will enter"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"you enter"},"5":{"reference":"I accepted","user_answer":"you accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":3,"test_total_num":7}
103	ABX5OQLR6UNBC	MC	3	["53","MC","ekki icedpü","she accepted","to accept","she enters","she will accept","you accepted"]	she accepted	NULL	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you watched"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"you watch"},"5":{"reference":"I accepted","user_answer":"you accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
67	A3LECJA9RVQQKZ	EX	17	["19","EX","ekki enplilí","she will enter"]	she will enter	NULL	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watched"},"5":{"reference":"I accepted","user_answer":"I accepted"},"6":{"reference":"he watches","user_answer":"he watched"},"test_correct_num":4,"test_total_num":7}
102	A1ITVW9X735K38	EX	3	["9","EX","ák icedpü","he accepted"]	he accepted	NULL	{"0":{"reference":"you will accept","user_answer":"she will accept"},"1":{"reference":"you watch","user_answer":"you watched"},"2":{"reference":"you will watch","user_answer":"she will enter"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I "},"5":{"reference":"I accepted","user_answer":"you acceot"},"6":{"reference":"he watches","user_answer":""},"test_correct_num":1,"test_total_num":7}
96	A3MXI2O3JZ0TZH	TPR	3	["200","TPR","pi icedpizpe","you accepted"]	NO_ANSWER_MADE	NULL	{"0":{"reference":"you will accept","user_answer":""},"1":{"reference":"you watch","user_answer":""},"2":{"reference":"you will watch","user_answer":""},"3":{"reference":"he watched","user_answer":""},"4":{"reference":"I watch","user_answer":""},"5":{"reference":"I accepted","user_answer":""},"6":{"reference":"he watches","user_answer":""},"test_correct_num":0,"test_total_num":7}
98	A2K56J9POYUFCA	MCR	3	["134","MCR","ekki enplilí","she will enter","she will watch","I will watch","he accepts","to enter"]	she will enter	{"1":{"guess":"she will enter","time":10}}	{"0":{"reference":"you will accept","user_answer":"I accept"},"1":{"reference":"you watch","user_answer":"you watched"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"he watched"},"5":{"reference":"I accepted","user_answer":""},"6":{"reference":"he watches","user_answer":""},"test_correct_num":2,"test_total_num":7}
62	A2MZYC2OHHM76X	EX	17	["30","EX","pi melizpe","you watched"]	you watched	NULL	{"0":{"reference":"you will accept","user_answer":"I will accept"},"1":{"reference":"you watch","user_answer":"I enter"},"2":{"reference":"you will watch","user_answer":"I entered"},"3":{"reference":"he watched","user_answer":"He accepts"},"4":{"reference":"I watch","user_answer":"I accept"},"5":{"reference":"I accepted","user_answer":"I will accept"},"6":{"reference":"he watches","user_answer":"He enter"},"test_correct_num":0,"test_total_num":7}
61	A1NS16PLRPJ3YW	MCR	20	["149","MCR","yé melilá","I will watch","I watched","she will watch","you enter","I accept"]	I will watch	{"1":{"guess":"I will watch","time":11}}	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watches"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"He watches"},"test_correct_num":5,"test_total_num":7}
83	A1A1Z3SQVIEP4I	MCR	11	["146","MCR","ekki meli","she watches","you accept","she will enter","he will watch","she enters"]	she watches	{"1":{"guess":"she watches","time":10}}	{"0":{"reference":"you will accept","user_answer":"you accepted"},"1":{"reference":"you watch","user_answer":"you watched"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he accepts"},"4":{"reference":"I watch","user_answer":"I "},"5":{"reference":"I accepted","user_answer":"I accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":2,"test_total_num":7}
91	A3OV174HQJIJK8	TPR	6	["209","TPR","pi enplilíz","you will enter"]	You accept	NULL	{"0":{"reference":"you will accept","user_answer":"you will accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will accept"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"I accepted"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":6,"test_total_num":7}
70	A13VIJ7G997ZCY	TP	17	["184","TP","melil","to watch"]	to enter	NULL	{"0":{"reference":"you will accept","user_answer":"you accept"},"1":{"reference":"you watch","user_answer":"you watch"},"2":{"reference":"you will watch","user_answer":"you will watch"},"3":{"reference":"he watched","user_answer":"he watched"},"4":{"reference":"I watch","user_answer":"I watch"},"5":{"reference":"I accepted","user_answer":"you accept"},"6":{"reference":"he watches","user_answer":"he watches"},"test_correct_num":5,"test_total_num":7}
